Metro Name,Predominant State,Metro population,People per sq mi,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Hottest month's avg low (F),Coldest month's avg low (F),Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Annual dew point (F),Average summer dew point (F),Hottest month's avg heat index high (F),Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual rainfall (in),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Annual snowfall (in),Days of snow per year,Average yearly windspeed (mph),Number of days with thunder per year,Air quality Index,UV Index,Latitude,Longitude
Brownwood,Texas,38085,1102,$46116,18%,36,$174111,1480,$117,49,67%,$846,50%,379,3013,15%,5%,61%,11%,85%,0%,4%,66%,25%,4%,N/A,99,59,40,73,31,49%,47%,47,62,111,69%,77%,65%,29,7.37,4.3,15%,14%,14%,0,0,6,43,70,5,31.730023477121282,-98.9878862196266
Crawfordsville,Indiana,37967,5037,$48773,17%,36,$187587,1845,$107,55,67%,$719,51%,398,2125,16%,5%,62%,22%,73%,0%,1%,87%,6%,3%,N/A,83,34,49,62,17,60%,57%,42,63,85,51%,64%,41%,45,14.5,9.12,35%,33%,38%,24,13,7,41,72,3,40.03522036116715,-86.895028928477
Logansport,Indiana,37918,1628,$42608,10%,37,$81961,1392,$58,75,65%,$674,55%,332,1111,16%,4%,59%,26%,68%,2%,0%,67%,25%,14%,N/A,84,32,51,63,17,60%,56%,40,60,87,58%,73%,46%,42,13.52,7.91,36%,34%,39%,22,16,8,40,70,3,40.747065932869724,-86.34086668218518
Scottsbluff,Nebraska,37915,1997,$54217,24%,37,$195792,2264,$85,54,64%,$813,50%,250,2148,13%,3%,63%,22%,70%,0%,0%,66%,28%,5%,N/A,89,39,50,59,13,47%,40%,32,52,89,63%,67%,59%,15,5.37,1.34,24%,26%,18%,40,24,8,43,82,4,41.867543717349015,-103.68112992299697
Natchitoches,Louisiana,37896,755,$27718,23%,28,$175000,1483,$118,38,43%,$699,70%,997,6880,34%,17%,49%,43%,54%,0%,58%,36%,2%,0%,N/A,93,58,34,73,37,58%,56%,54,70,105,58%,69%,50%,55,11.75,15.81,28%,27%,33%,0,0,7,55,51,5,31.74663298529919,-93.09050402074926
Newberry,South Carolina,37842,1074,$44909,18%,37,$238032,2239,$103,59,59%,$872,56%,606,3623,20%,6%,57%,37%,59%,0%,42%,48%,6%,7%,N/A,91,54,36,69,31,50%,52%,50,67,98,64%,67%,57%,46,12.74,12.6,30%,32%,35%,1,0,6,49,57,4,34.29615159254838,-81.58970957863771
Lock Haven,Pennsylvania,37824,1731,$48314,19%,37,$221148,1724,$123,54,60%,$770,57%,0,194,16%,6%,60%,30%,64%,0%,1%,93%,2%,1%,N/A,85,34,50,61,18,56%,55%,40,61,88,49%,61%,41%,41,12.69,8.16,38%,39%,39%,28,15,6,33,76,3,41.145318247375194,-77.45195707430342
Centralia,Illinois,37781,1019,$41054,13%,41,$73899,1113,$63,54,72%,$657,55%,1472,4638,22%,11%,55%,25%,69%,0%,5%,87%,3%,1%,N/A,88,39,49,66,21,58%,55%,44,65,93,57%,67%,49%,48,13.12,8.93,30%,28%,29%,12,5,6,46,68,4,38.58143117082996,-89.04776944461538
Easton,Maryland,37510,1345,$71606,38%,44,$468453,2068,$223,37,62%,$1143,51%,305,1914,9%,3%,58%,42%,52%,1%,13%,70%,10%,8%,N/A,89,45,44,71,30,53%,53%,43,63,94,55%,61%,52%,49,14.63,10.2,34%,32%,37%,15,6,7,26,65,3,38.766018330306835,-76.09315289565318
Owatonna,Minnesota,37363,1604,$70910,29%,39,$244020,1736,$140,46,78%,$843,44%,96,1466,8%,3%,67%,32%,58%,0%,4%,84%,8%,4%,N/A,82,22,59,62,6,64%,60%,35,58,84,N/A%,N/A%,N/A%,36,15.12,3.34,29%,34%,23%,49,17,8,40,72,3,44.07516561159735,-93.22175673286513
Mount Vernon,Illinois,37362,681,$44953,18%,39,$69259,1382,$50,53,61%,$754,60%,1351,4938,20%,8%,56%,26%,68%,1%,15%,75%,4%,2%,N/A,85,39,46,67,21,58%,55%,44,65,88,57%,68%,48%,49,13.14,9.29,30%,28%,28%,12,5,6,46,69,4,38.30238988293916,-88.91367635450305
Laramie,Wyoming,37311,1676,$45834,56%,27,N/A,N/A,N/A,43,51%,$855,63%,177,973,25%,4%,68%,40%,44%,4%,1%,79%,10%,7%,N/A,81,32,48,48,7,45%,39%,31,51,80,64%,67%,60%,14,4.53,1.75,26%,30%,20%,64,47,8,43,77,5,41.31186030891313,-105.61922823749963
Murray,Kentucky,37291,1466,$35904,34%,26,$176000,1615,$109,38,47%,$724,67%,102,1933,23%,5%,61%,29%,64%,3%,6%,84%,1%,4%,N/A,90,45,44,69,26,58%,57%,45,65,99,64%,77%,54%,60,14.15,15.98,32%,29%,36%,7,2,6,42,62,4,36.61273855147356,-88.32067146969068
Fremont,Nebraska,37249,1974,$59115,19%,37,$242289,1844,$131,57,62%,$807,48%,184,2220,11%,5%,66%,29%,64%,0%,0%,80%,15%,6%,N/A,86,32,53,65,12,58%,56%,39,61,91,61%,73%,53%,34,12.91,3.75,27%,33%,20%,30,18,N/A,46,75,3,41.48035451837981,-96.53726285285524
Bennington,Vermont,37235,859,$52506,35%,44,$255507,1422,$181,66,70%,$904,59%,192,2477,11%,5%,53%,54%,34%,1%,0%,92%,2%,3%,N/A,80,32,48,58,13,57%,55%,37,58,81,50%,58%,45%,42,13.6,8.5,40%,45%,40%,60,31,7,22,87,3,42.96711369638442,-73.15828552393226
Newton,Iowa,37148,1289,$59159,17%,40,$180608,1256,$141,56,73%,$740,46%,57,172,9%,5%,62%,38%,54%,0%,1%,92%,2%,2%,N/A,84,28,55,63,11,60%,58%,39,61,88,58%,71%,49%,38,14.23,3.83,27%,30%,22%,35,19,N/A,48,72,3,41.67273870427639,-93.09235246366866
Fort Dodge,Iowa,37114,1379,$51740,19%,38,$143000,1625,$88,63,68%,$673,59%,421,3020,16%,3%,58%,36%,57%,1%,5%,83%,6%,3%,N/A,83,26,56,62,8,60%,58%,39,61,85,58%,71%,49%,40,16.22,3.84,29%,30%,26%,33,15,N/A,48,80,3,42.48881786015658,-94.17362336737143
Sault Ste. Marie,Michigan,37091,361,$45934,27%,34,N/A,N/A,N/A,62,58%,$762,64%,195,897,21%,10%,63%,34%,58%,1%,1%,69%,2%,4%,N/A,77,25,52,54,8,65%,61%,32,53,78,48%,61%,38%,35,9.35,6.77,45%,36%,58%,117,75,7,29,89,3,46.35610608654469,-84.43138781992529
Campbellsville,Kentucky,37089,1509,$47603,27%,35,$120000,960,$125,47,44%,$642,59%,252,3629,21%,11%,57%,22%,73%,1%,9%,83%,1%,2%,N/A,88,45,43,67,25,56%,55%,45,65,93,55%,65%,46%,52,12.8,13.19,29%,29%,30%,6,2,7,45,71,4,37.3443889,-85.3510622
Dyersburg,Tennessee,36975,905,$44934,20%,41,$217930,1971,$111,46,52%,$698,55%,951,4747,23%,7%,57%,21%,76%,0%,20%,70%,3%,2%,N/A,89,46,43,70,27,56%,56%,50,68,98,63%,74%,52%,56,12.47,14.37,27%,23%,30%,3,1,7,53,66,5,36.06313060966912,-89.35411176556704
Escanaba,Michigan,36836,452,$35156,24%,51,$131740,1497,$88,75,89%,$875,59%,491,1816,24%,4%,37%,34%,59%,0%,3%,76%,9%,5%,N/A,78,26,51,56,8,63%,59%,35,57,78,55%,67%,48%,33,10.18,5.31,40%,36%,43%,121,55,7,28,84,3,45.83637044949139,-87.13503255444596
Mayfield,Kentucky,36796,1189,$38200,19%,38,$149505,1495,$100,49,58%,$585,52%,406,4395,29%,7%,54%,19%,76%,0%,10%,74%,8%,3%,N/A,89,45,44,65,23,58%,57%,45,65,98,64%,77%,54%,59,13.95,15.8,32%,28%,36%,7,2,6,42,70,4,36.73641479918613,-88.64864101897942
Kill Devil Hills,North Carolina,36718,730,$70455,40%,50,$579146,1909,$308,33,74%,$1296,43%,252,3176,7%,6%,65%,36%,58%,0%,2%,87%,6%,4%,N/A,87,51,35,73,35,57%,59%,48,66,93,61%,65%,57%,51,15.51,11.42,32%,36%,32%,6,1,7,34,85,4,35.90861231551194,-75.6768782595915
Sulphur Springs,Texas,36666,755,$52318,19%,37,$283000,2051,$138,44,53%,$864,51%,193,990,13%,5%,65%,18%,79%,1%,11%,67%,17%,7%,N/A,95,55,39,73,33,54%,50%,51,67,104,61%,71%,56%,47,9.95,10.77,25%,20%,28%,0,0,7,46,45,5,33.142673430289115,-95.61669932375848
Texarkana,Arkansas,36663,668,$43603,17%,40,$194848,2204,$88,43,60%,$745,55%,570,3589,21%,8%,54%,26%,69%,0%,33%,58%,3%,1%,Central Standard Time,93,54,39,72,34,58%,56%,54,70,105,58%,69%,50%,49,10.43,12.81,27%,22%,30%,2,0,7,55,39,5,33.47545394489532,-94.02045733125505
Hutchinson,Minnesota,36662,1520,$59287,20%,40,$271764,2154,$126,40,74%,$766,48%,174,1427,8%,3%,67%,26%,64%,0%,0%,87%,8%,3%,N/A,82,22,60,62,4,64%,60%,34,58,84,56%,63%,56%,32,13.11,3.17,24%,29%,17%,51,15,N/A,39,79,3,44.85125854099559,-94.29698669568671
Coshocton,Ohio,36621,1153,$46536,17%,38,$201426,1458,$135,67,65%,$674,51%,119,2513,22%,8%,59%,25%,68%,0%,1%,92%,2%,0%,N/A,83,36,46,62,19,62%,57%,39,59,85,45%,54%,34%,44,13.61,9.23,38%,37%,40%,21,11,7,38,70,3,40.294892847721755,-81.84873716662317
Huntington,Indiana,36572,1287,$49496,16%,38,$133139,1237,$108,72,66%,$715,55%,N/A,N/A,15%,3%,61%,21%,72%,1%,0%,93%,2%,1%,N/A,84,34,50,62,17,61%,55%,40,60,87,60%,75%,47%,41,12.64,7.86,37%,33%,42%,25,14,8,36,75,3,40.865601283163045,-85.48613421890539
DeRidder,Louisiana,36417,892,$48840,18%,37,$195000,1667,$117,44,66%,$783,52%,N/A,N/A,19%,9%,56%,15%,81%,0%,30%,52%,6%,2%,N/A,93,60,33,71,37,62%,62%,59,73,111,67%,81%,48%,62,18.63,15.57,34%,37%,39%,0,0,7,75,55,5,30.811779002492482,-93.31862475611648
Vincennes,Indiana,36362,1682,$43915,15%,38,$119265,1286,$93,59,54%,$703,55%,N/A,N/A,21%,4%,58%,24%,71%,1%,4%,87%,3%,2%,N/A,88,40,47,66,21,58%,56%,45,65,95,58%,72%,46%,50,13.01,10.58,32%,31%,32%,10,6,6,42,66,4,38.704398739149404,-87.44781345442337
Bay City,Texas,36323,1553,$46851,19%,35,$176722,1997,$87,43,64%,$865,50%,328,2082,21%,7%,58%,28%,68%,1%,10%,31%,55%,13%,N/A,92,64,27,74,42,59%,57%,59,71,101,55%,65%,47%,43,14.3,7.84,25%,25%,29%,0,0,7,51,76,6,28.928275588006855,-96.01085427346199
North Platte,Nebraska,36246,972,$65946,22%,40,$122945,1651,$73,51,85%,$727,38%,N/A,N/A,6%,2%,63%,16%,77%,0%,0%,89%,6%,1%,N/A,88,39,49,61,14,51%,47%,32,54,90,64%,74%,59%,22,9.3,1.67,24%,32%,14%,32,17,N/A,45,87,4,41.151804298448134,-100.88796718249387
Peru,Indiana,36100,4130,$45276,12%,40,$90518,1232,$72,58,61%,$769,56%,N/A,N/A,21%,5%,59%,20%,74%,0%,5%,86%,3%,0%,N/A,84,33,51,63,17,60%,55%,40,60,87,59%,73%,46%,41,12.77,7.92,33%,32%,34%,22,11,8,36,72,3,40.73350748526007,-86.07864452125526
Pontiac,Illinois,35902,1022,$52656,14%,39,$119207,1445,$82,59,66%,$763,56%,228,1276,15%,4%,55%,26%,66%,0%,5%,84%,6%,1%,N/A,84,32,51,64,16,60%,57%,39,61,87,53%,65%,45%,40,12.71,6.6,31%,31%,28%,24,11,8,46,79,3,40.88210594556824,-88.58311087290791
Lebanon,Missouri,35898,974,$40346,16%,35,$180409,1433,$126,39,54%,$717,51%,387,4581,20%,8%,62%,15%,79%,0%,1%,87%,5%,1%,N/A,89,43,46,67,23,58%,57%,44,64,96,58%,69%,50%,47,12.98,8.26,25%,26%,20%,11,7,N/A,54,55,4,37.66303567095057,-92.66832676664765
Newport,Tennessee,35896,1201,$34104,12%,39,$258268,1992,$130,44,59%,$645,53%,972,8738,31%,13%,50%,16%,80%,2%,4%,84%,6%,1%,N/A,88,49,39,67,28,56%,58%,47,65,95,57%,65%,44%,46,12.63,12.54,34%,35%,38%,3,1,6,46,69,4,35.96374798785724,-83.19274587172731
Decatur,Indiana,35685,1005,$51962,15%,39,$165173,1686,$98,52,70%,$673,54%,262,577,13%,2%,60%,21%,73%,0%,1%,89%,7%,0%,N/A,83,33,50,63,18,61%,55%,40,60,85,60%,75%,47%,43,12.86,8.5,34%,33%,34%,27,13,8,36,77,3,40.75482980941686,-84.93491812463054
Vidalia,Georgia,35657,541,$39311,18%,38,$224035,1795,$125,44,53%,$634,55%,N/A,N/A,23%,8%,49%,25%,72%,1%,38%,52%,4%,4%,N/A,92,60,32,72,38,53%,56%,54,69,103,59%,60%,55%,49,16.06,12.65,19%,24%,21%,0,0,6,59,56,5,32.202277959939835,-82.41650644702624
Brenham,Texas,35561,1314,$55042,27%,35,$315000,1957,$161,38,65%,$1039,56%,535,2077,14%,5%,55%,22%,73%,1%,22%,48%,24%,7%,N/A,95,61,34,73,38,58%,56%,57,70,110,55%,65%,47%,46,10.33,10.44,24%,20%,29%,0,0,7,60,70,5,30.159009458847255,-96.4018789745925
Vernal,Utah,35488,1313,$59380,18%,31,$296385,2165,$137,31,71%,$801,46%,94,567,15%,6%,61%,7%,76%,1%,0%,80%,9%,3%,N/A,89,27,62,57,6,36%,21%,29,41,85,68%,79%,58%,8,1.71,1.92,17%,14%,17%,24,10,7,33,85,4,40.4348278590405,-109.58014287476789
Ottumwa,Iowa,35343,1473,$49239,19%,38,$123630,1391,$88,65,67%,$814,53%,509,3802,15%,5%,61%,35%,58%,1%,3%,78%,12%,8%,N/A,86,32,53,65,14,60%,58%,39,61,90,58%,71%,49%,38,14.49,4.1,29%,31%,23%,22,11,N/A,48,74,3,40.98791234754716,-92.41285491748756
Butte-Silver Bow,Montana,35017,52,$50331,27%,41,$310000,2039,$152,66,73%,$705,52%,N/A,N/A,15%,4%,59%,52%,38%,0%,0%,89%,4%,1%,N/A,83,30,53,47,7,46%,32%,27,42,81,57%,71%,42%,12,4.5,1.1,28%,30%,22%,37,23,6,28,86,3,45.904481134723135,-112.65490015486193
Corinth,Mississippi,34964,452,$40242,26%,39,N/A,N/A,N/A,45,54%,$651,57%,N/A,N/A,19%,9%,54%,18%,79%,0%,17%,74%,3%,1%,N/A,89,49,40,69,29,57%,56%,50,68,97,63%,74%,52%,57,11.89,16.54,25%,23%,29%,2,2,6,53,57,4,34.93824208819354,-88.50417961199796
Brookhaven,Mississippi,34910,536,$33851,16%,39,$195000,2349,$83,45,58%,$695,60%,373,3215,26%,4%,52%,29%,69%,1%,58%,38%,1%,1%,N/A,90,58,32,71,36,57%,57%,54,70,99,59%,66%,50%,62,16.44,17.31,24%,27%,29%,1,0,6,66,47,5,31.575763103451376,-90.44380307986424
Emporia,Kansas,34901,1711,$47871,25%,29,$171133,1618,$106,51,57%,$711,54%,145,2089,17%,3%,69%,37%,52%,2%,2%,64%,26%,12%,N/A,89,41,48,67,19,58%,58%,43,65,96,59%,68%,54%,37,13.37,3.46,26%,31%,16%,11,3,8,55,60,4,38.40606557004069,-96.18758126321248
Jackson,Wyoming,34809,2118,$97599,57%,40,N/A,N/A,N/A,29,53%,$1604,46%,N/A,N/A,6%,1%,79%,57%,31%,1%,0%,79%,15%,11%,N/A,80,27,53,43,4,45%,25%,29,41,79,62%,79%,43%,24,4.17,6.83,40%,23%,51%,126,41,6,23,92,3,43.46059903924649,-110.79368694776288
Arkansas City-Winfield,Kansas,34628,879,$49733,22%,35,$98519,1701,$56,61,64%,$701,53%,415,3528,15%,6%,58%,28%,65%,2%,2%,75%,13%,4%,N/A,91,46,44,69,21,55%,51%,43,62,97,64%,73%,59%,39,14.35,3.91,24%,28%,16%,8,3,8,53,62,4,37.17522844726545,-96.98099540616104
Big Spring,Texas,34620,1319,$59031,12%,35,N/A,N/A,N/A,55,64%,$889,53%,537,3709,18%,6%,51%,20%,76%,0%,6%,41%,48%,12%,N/A,96,58,38,71,30,48%,45%,42,58,104,71%,79%,65%,19,6.25,2.27,11%,12%,7%,6,1,N/A,37,67,6,32.23674474125562,-101.46883377674907
Effingham,Illinois,34576,1141,$56769,19%,37,$205809,1864,$109,46,68%,$661,50%,460,2477,15%,3%,65%,17%,77%,1%,0%,93%,3%,3%,N/A,87,38,49,66,20,58%,55%,44,65,93,57%,70%,46%,47,14.06,8.65,32%,30%,31%,14,10,6,43,73,4,39.10789693584991,-88.58029303780921
Dodge City,Kansas,34426,1754,$57292,19%,31,$200000,1852,$108,49,61%,$834,48%,455,2165,13%,3%,71%,27%,66%,1%,2%,34%,60%,25%,N/A,93,45,48,66,21,50%,46%,39,59,99,69%,78%,65%,23,9.69,2.37,19%,25%,11%,16,9,N/A,48,79,5,37.75472492636088,-99.99758739975141
Watertown,South Dakota,34416,1069,$56508,20%,38,$225000,1957,$115,40,66%,$818,48%,301,1650,13%,1%,69%,27%,66%,0%,1%,89%,3%,2%,N/A,82,22,60,60,3,60%,55%,33,57,84,63%,73%,58%,23,9.75,2.26,26%,32%,22%,45,24,N/A,38,82,3,44.919075775282714,-97.15731571213314
Angola,Indiana,34379,804,$49324,22%,35,$167243,1444,$115,38,62%,$889,58%,N/A,N/A,15%,7%,62%,25%,69%,1%,0%,89%,5%,1%,N/A,82,31,51,61,17,61%,55%,40,60,84,60%,75%,47%,39,11.46,7.91,36%,31%,42%,39,25,7,36,79,3,41.654449401022305,-85.01267123324669
Dixon,Illinois,34373,1749,$52504,17%,41,$179641,1717,$104,65,67%,$704,58%,287,1675,15%,3%,53%,35%,55%,0%,8%,81%,7%,2%,N/A,82,29,53,63,13,59%,56%,39,61,84,52%,63%,45%,41,14.54,6.33,30%,30%,28%,30,13,8,46,76,3,41.81657823662806,-89.41608625554584
Laurinburg,North Carolina,34345,1099,$37321,18%,38,$165149,1696,$96,46,49%,$725,61%,1071,5104,31%,13%,51%,52%,44%,1%,43%,37%,4%,3%,N/A,93,55,38,71,33,52%,55%,47,66,105,63%,67%,57%,46,13.54,10.58,33%,37%,36%,2,0,6,38,61,4,34.773894722451374,-79.48183249947931
Taos,New Mexico,34322,684,$43526,24%,44,$514485,1682,$314,40,79%,$857,65%,272,3965,14%,12%,52%,69%,17%,0%,0%,29%,59%,7%,N/A,79,37,42,46,7,39%,33%,27,43,78,76%,78%,73%,16,5.35,3.37,29%,29%,35%,18,4,N/A,38,92,5,36.45060363832818,-105.58918971633058
Brookings,South Dakota,34315,1350,$62706,28%,38,$320000,1684,$190,41,79%,$713,35%,217,1273,9%,0%,69%,37%,53%,0%,0%,97%,1%,1%,N/A,82,22,59,60,4,60%,55%,34,58,83,56%,63%,56%,26,11.88,2.18,29%,33%,23%,45,22,N/A,44,85,3,44.338643281542176,-96.83969136004254
Americus,Georgia,34312,1278,$34504,17%,31,$167000,2530,$66,47,44%,$744,68%,840,5526,27%,8%,58%,47%,50%,1%,59%,35%,1%,2%,N/A,90,58,32,68,36,53%,54%,53,69,98,63%,67%,56%,53,14.76,16.55,30%,38%,34%,0,0,6,53,49,3,32.08385982273781,-84.23389748330844
Columbus,Nebraska,34123,1589,$65151,18%,35,$340871,1765,$193,58,83%,$809,38%,119,1533,5%,1%,71%,18%,76%,0%,0%,94%,2%,0%,N/A,86,33,53,65,13,56%,54%,37,60,90,60%,72%,53%,29,12.06,1.97,24%,30%,18%,27,11,N/A,47,78,4,41.49119163377861,-97.4493316595423
Taylorville,Illinois,34038,945,$54561,15%,40,$122448,1664,$71,62,74%,$690,50%,228,1004,11%,4%,60%,25%,68%,0%,0%,96%,1%,0%,N/A,87,36,50,65,19,58%,55%,42,64,92,56%,66%,48%,42,12.57,7.4,32%,32%,28%,17,10,6,47,76,4,39.500754835321736,-89.17875372490086
Arcadia,Florida,34027,1369,$31535,9%,33,$216878,1224,$177,42,57%,$795,62%,664,1281,29%,10%,58%,34%,62%,0%,12%,36%,49%,19%,N/A,92,73,19,72,47,55%,60%,62,72,105,69%,67%,65%,52,27.02,5.7,30%,53%,18%,0,0,7,82,61,6,27.2036230355726,-81.85524291446707
Lewisburg,Tennessee,33909,766,$49825,14%,34,$265324,1320,$201,42,60%,$803,51%,313,705,20%,8%,60%,24%,71%,0%,9%,72%,11%,5%,N/A,90,48,41,65,26,57%,57%,49,67,101,55%,60%,46%,56,13.77,15.33,34%,35%,37%,3,2,7,56,60,4,35.46006597689583,-86.78751196712805
Seneca Falls,New York,33900,1044,$53602,21%,45,$133457,1719,$76,77,69%,$809,54%,77,2035,12%,4%,65%,40%,51%,0%,2%,90%,2%,3%,N/A,79,31,48,60,16,60%,55%,38,58,81,44%,57%,32%,39,12.04,7.79,44%,43%,45%,50,33,8,26,84,3,42.861614230097956,-76.81456894851726
Canton,Illinois,33690,1295,$48126,16%,43,$86332,1527,$57,63,73%,$646,57%,306,1043,16%,8%,53%,38%,53%,0%,4%,88%,4%,1%,N/A,86,33,52,66,17,61%,58%,40,62,91,54%,65%,46%,40,12.81,6.26,30%,31%,25%,22,8,N/A,47,77,3,40.52874324527905,-90.10418040071063
Dickinson,North Dakota,33549,1644,$65881,25%,33,N/A,N/A,N/A,34,63%,$890,49%,217,1917,11%,2%,68%,14%,79%,1%,2%,84%,6%,3%,N/A,84,27,57,55,7,58%,47%,29,50,85,59%,72%,51%,17,7.31,1.51,22%,31%,12%,38,38,N/A,28,80,3,46.89062778211305,-102.78622052984802
Washington,Indiana,33281,1173,$45289,12%,37,$174392,1668,$105,61,60%,$746,50%,N/A,N/A,14%,3%,61%,16%,79%,0%,3%,78%,11%,7%,N/A,88,40,47,66,23,58%,56%,45,65,94,58%,72%,46%,50,12.39,10.9,33%,31%,34%,18,7,6,42,69,4,38.6924055354943,-87.10663904099292
Troy,Alabama,33176,569,$36427,35%,27,$338339,2591,$130,36,57%,$776,70%,N/A,N/A,26%,4%,51%,38%,58%,2%,41%,51%,1%,4%,N/A,90,58,32,70,37,55%,56%,53,69,100,58%,62%,50%,56,15.35,16.32,31%,39%,34%,0,0,5,57,50,5,31.791522529822352,-85.95105876672638
Malvern,Arkansas,33096,945,$38049,14%,38,$116622,1338,$86,47,60%,$650,57%,N/A,N/A,23%,7%,44%,26%,68%,0%,25%,65%,4%,1%,N/A,92,51,40,70,29,57%,56%,50,68,102,68%,81%,56%,60,13.7,14.58,27%,24%,29%,1,0,7,55,42,4,34.362881464042395,-92.83193065132123
Frankfort,Indiana,33010,1243,$47742,11%,35,$178162,1398,$128,63,65%,$805,55%,N/A,N/A,14%,4%,62%,23%,71%,0%,0%,76%,20%,9%,N/A,84,34,49,63,18,60%,57%,42,63,87,51%,64%,41%,45,13.9,9.49,38%,35%,43%,28,19,8,41,69,3,40.293690515797344,-86.51846545673168
Madison,Indiana,33000,1219,$48450,21%,40,$210838,1441,$148,54,56%,$721,62%,N/A,N/A,17%,3%,52%,31%,62%,1%,3%,88%,3%,1%,N/A,86,40,45,65,23,56%,55%,45,65,90,55%,65%,46%,53,14.36,11.45,34%,32%,34%,19,12,7,45,66,4,38.75578224313744,-85.42890788619786
Brevard,North Carolina,32979,1427,$46008,34%,46,$392926,1477,$269,49,54%,$737,54%,227,2371,14%,5%,50%,36%,58%,0%,11%,81%,3%,2%,N/A,83,48,35,62,25,55%,59%,46,64,86,59%,59%,57%,68,17.47,18.31,42%,57%,37%,10,2,6,44,79,4,35.23570878820731,-82.73425506994768
Susanville,California,32949,1391,$55768,9%,38,$241043,1405,$170,45,52%,$911,59%,1317,1391,16%,7%,30%,20%,70%,1%,10%,59%,22%,5%,N/A,87,42,45,52,22,31%,19%,29,38,84,81%,92%,65%,19,1.03,9.38,23%,7%,37%,51,20,6,14,88,5,40.36436030323885,-120.59853346874296
Martin,Tennessee,32948,761,$38953,23%,32,$134659,1684,$78,45,52%,$670,58%,220,2445,23%,5%,52%,22%,73%,1%,12%,81%,3%,2%,N/A,89,46,43,69,26,58%,57%,50,68,97,64%,77%,54%,57,12.27,15.61,33%,28%,37%,6,1,6,53,68,5,36.29018473648641,-88.79996023650803
Plainview,Texas,32879,1344,$47748,17%,33,$175408,1659,$109,54,60%,$691,49%,112,658,16%,4%,63%,23%,71%,0%,4%,28%,64%,9%,N/A,92,52,40,68,26,45%,46%,41,59,97,72%,80%,66%,18,7.0,1.89,16%,22%,10%,7,2,N/A,48,76,6,34.13106205339997,-101.74279934536814
Valley,Alabama,32865,744,$46109,13%,39,$174226,2184,$85,46,62%,$766,58%,N/A,N/A,15%,3%,57%,41%,56%,1%,44%,49%,3%,2%,N/A,90,57,33,68,32,53%,54%,53,69,99,58%,62%,50%,54,13.03,16.95,30%,34%,35%,1,0,6,53,50,3,32.83804939442234,-85.24144734719874
Dayton,Tennessee,32723,932,$38610,14%,36,$242507,1561,$154,42,53%,$639,54%,323,2273,22%,7%,50%,17%,78%,1%,4%,84%,6%,5%,N/A,87,47,40,67,27,55%,56%,48,67,92,55%,60%,46%,59,13.39,16.83,35%,39%,38%,3,2,5,55,67,4,35.528896886735446,-84.9874229926308
Jackson,Ohio,32531,633,$41067,13%,36,$161364,1361,$119,59,57%,$687,54%,161,3267,24%,7%,61%,23%,72%,0%,1%,92%,1%,1%,N/A,81,38,43,62,20,57%,58%,44,64,84,45%,54%,35%,43,12.49,10.26,37%,36%,41%,12,5,5,42,69,5,39.0241812474946,-82.60801090177574
Cambridge,Maryland,32486,1161,$46665,20%,39,$298041,1764,$167,51,49%,$901,58%,842,5174,19%,7%,59%,41%,55%,1%,35%,47%,8%,4%,N/A,88,45,43,70,29,53%,53%,43,63,93,55%,61%,52%,48,14.22,9.75,33%,32%,37%,15,6,7,26,71,4,38.5634565997837,-76.03870372633031
Paris,Tennessee,32298,776,$36397,17%,40,$175482,3025,$56,51,58%,$678,57%,295,2543,26%,3%,49%,23%,73%,0%,18%,73%,3%,2%,N/A,89,46,43,68,27,58%,57%,49,67,96,64%,77%,54%,52,11.38,14.06,33%,29%,38%,3,0,6,52,63,4,36.29917463758331,-88.31314847714013
Junction City,Kansas,32218,1388,$52996,22%,27,$183771,1982,$92,32,37%,$982,44%,1009,2443,14%,6%,74%,37%,54%,3%,18%,52%,17%,7%,N/A,90,41,48,68,18,57%,54%,41,62,96,67%,78%,60%,34,14.06,3.15,23%,29%,14%,19,7,8,56,63,4,39.045599598535006,-96.84109845282633
Logan,West Virginia,31688,730,$38854,10%,43,N/A,N/A,N/A,48,69%,$691,52%,N/A,N/A,25%,15%,42%,16%,79%,1%,1%,95%,0%,1%,N/A,88,44,43,66,26,57%,58%,42,61,95,56%,62%,50%,52,15.94,11.83,41%,43%,46%,16,12,5,43,69,4,37.81292715384667,-81.9475616362306
Coffeyville,Kansas,31679,1080,$42660,19%,39,$77024,1369,$55,67,66%,$682,57%,805,4019,19%,3%,58%,22%,72%,0%,5%,76%,8%,1%,N/A,91,45,45,69,22,56%,55%,47,67,99,59%,70%,53%,46,15.13,4.94,24%,26%,18%,9,2,7,47,54,4,37.15377896548926,-95.70525762741504
