	Month of Period End
Pollock, LA	
Pollocksville, NC	
Polo, IL	$68K
Polo, MO	$132K
Polonia, WI	
Pomaria, SC	$220K
Pomeroy, PA	
Pomfret, MD	$650K
Pomfret, NY	$172K
Pomona Park, FL	
Pomona, CA	$603K
Pomona, KS	$167K
Pomona, MO	
Pomona, NJ	$173K
Pomona, NY	$775K
Pompano Beach, FL	$333K
Pompey, NY	$422K
Pompeys Pillar, MT	
Pompton Lakes, NJ	$405K
Pompton Plains, NJ	$425K
Ponca City, OK	$130K
Ponca, NE	$152K
Ponce Inlet, FL	$765K
Ponchatoula, LA	$210K
Ponder, TX	$341K
Ponderay, ID	
Ponderosa Park, CO	$742K
Ponderosa Pines, MT	
Ponderosa, CA	
Pondsville, MD	
Poneto, IN	
Pontiac, IL	$117K
Pontiac, MI	$131K
Pontoon Beach, IL	$163K
Pontoosuc, IL	
Pontotoc, MS	
Pooler, GA	$400K
Poolesville, MD	$745K
Pope Valley, CA	$265K
Poplar Bluff, MO	$116K
Poplar Grove, IL	$277K
Poplar Plains, CT	$1,040K
Poplar-Cotton Center, CA	$227K
Poplarville, MS	$210K
Popponesset Island, MA	
Popponesset, MA	$1,190K
Poquonock Bridge, CT	$199K
Poquoson, VA	$380K
Poquott, NY	
Port Allegany, PA	
Port Allen, LA	$197K
Port Angeles East, WA	
Port Angeles, WA	$387K
Port Arthur, TX	$145K
Port Barre, LA	
Port Barrington, IL	$388K
Port Byron, IL	$310K
Port Byron, NY	$109K
Port Carbon, PA	$126K
Port Charlotte, FL	$290K
Port Chester, NY	$617K
Port Clinton, OH	$252K
Port Clinton, PA	
Port Colden, NJ	
Port Costa, CA	$450K
Port Deposit, MD	
Port Dickinson, NY	$168K
Port Edwards, WI	$143K
Port Elizabeth, NJ	$170K
Port Ewen, NY	$321K
Port Gamble Tribal Community, WA	
Port Gamble, WA	
Port Gibson, NY	
Port Hueneme, CA	$536K
Port Huron, MI	$137K
Port Isabel, TX	$229K
Port Jefferson Station, NY	$520K
Port Jefferson, NY	$603K
Port Jefferson, OH	$125K
Port Jervis, NY	$240K
Port LaBelle, FL	$286K
Port Lavaca, TX	$190K
Port Mansfield, TX	$189K
Port Matilda, PA	
Port Monmouth, NJ	$483K
Port Morris, NJ	
Port Murray, NJ	$440K
Port Neches, TX	$227K
Port Norris, NJ	$97K
Port O'Connor, TX	$580K
Port Orange, FL	$350K
Port Orchard, WA	$507K
Port Orford, OR	$210K
Port Penn, DE	
Port Reading, NJ	$420K
Port Republic, NJ	$375K
Port Republic, VA	
Port Richey, FL	$255K
Port Royal, SC	$341K
Port Salerno, FL	$379K
Port St. John, FL	$313K
Port St. Lucie, FL	$388K
Port Sulphur, LA	
Port Tobacco Village, MD	
Port Trevorton, PA	
Port Vincent, LA	
Port Vue, PA	$100K
Port Washington North, NY	$1,093K
Port Washington, NY	$915K
Port Washington, OH	
Port Washington, WI	$299K
Port Wentworth, GA	$292K
Port William, OH	
Portage Des Sioux, MO	
Portage Lakes, OH	$225K
Portage, IN	$262K
Portage, MI	$225K
Portage, NY	
Portage, OH	
Portage, PA	$89K
Portage, UT	$275K
Portage, WI	$232K
Portal, GA	
Portales, NM	$185K
Porter Heights, TX	$226K
Porter, IN	$225K
Porter, NY	$302K
Porter, OK	
Porter, TX	$317K
Porter, WA	
Porterdale, GA	$133K
Porters Neck, NC	$620K
Portersville, PA	$385K
Porterville, CA	$297K
Portland, CO	
Portland, CT	$255K
Portland, IA	
Portland, ME	$570K
Portland, MI	$127K
Portland, NY	$48K
Portland, OR	$525K
Portland, PA	
Portland, TN	$293K
Portlandville, NY	
Portola Hills, CA	$888K
Portola Valley, CA	
Portsmouth, NH	$860K
Portsmouth, OH	
Portsmouth, RI	$757K
Portsmouth, VA	$239K
Portville, NY	$197K
Porum, OK	
Posen, IL	$160K
Posey, CA	
Poseyville, IN	
Poso Park, CA	
Post Falls, ID	$459K
Post Oak Bend City, TX	
Poteet, TX	$230K
Poth, TX	$258K
Potlatch, ID	
Potlicker Flats, PA	
Potomac Falls, VA	
Potomac Heights, MD	
Potomac Mills, VA	
Potomac Park, CA	$292K
Potomac Park, MD	
Potomac, IL	
Potomac, MD	$1,253K
Potomac, MT	
Potosi, TX	$560K
Potosi, WI	$157K
Potrero, CA	
Potsdam, NY	
Potsdam, OH	
Pottawattamie Park, IN	$300K
Potter Lake, WI	$489K
Potter Valley, CA	
Potter, NY	
Potter, WI	
Potters Mills, PA	
Pottersville, NJ	
Pottersville, NY	
Potterville, MI	$267K
Pottery Addition, OH	
Potts Camp, MS	
Pottsboro, TX	$324K
Pottsgrove, PA	$438K
Pottstown, PA	$270K
Pottsville, AR	
Pottsville, PA	$106K
Potwin, KS	
Poughkeepsie, NY	$360K
Poulan, GA	
Poulsbo, WA	$731K
Poultney, VT	$90K
Pound Ridge, NY	$1,625K
Pound, VA	
Pound, WI	
Pounding Mill, VA	
Poway, CA	$914K
Powder Springs, GA	$357K
Powderly, KY	$84K
Powderly, TX	$373K
Powdersville, SC	$397K
Powell, AL	
Powell, OH	$517K
Powell, TN	$260K
Powell, TX	
Powers Lake, WI	
Powers, MI	
Powers, OR	
Powhatan Point, OH	$50K
Powhatan, VA	$295K
Pownal Center, VT	
Pownal, VT	$179K
Poydras, LA	$108K
Poyen, AR	
Poynette, WI	$273K
Poynor, TX	
Prado Verde, TX	
Prague, NE	
Prague, OK	$140K
Prairie City, IA	$395K
Prairie City, IL	
Prairie Creek, AR	$396K
Prairie du Sac, WI	$289K
Prairie Grove, AR	$300K
Prairie Grove, IL	$329K
Prairie Heights, WA	$540K
Prairie Home, MO	$100K
Prairie Home, NE	
Prairie Ridge, WA	$485K
Prairie View, TX	$285K
Prairie Village, KS	$503K
Prairieburg, IA	
Prairietown, IL	
Prairieville, LA	$315K
Prairiewood Village, SD	$335K
Prathersville, MO	
Prattsburg, NY	$25K
Prattsburgh, NY	$25K
Prattsville, AR	
Prattville, AL	$270K
Preakness, NJ	$510K
Preble, NY	$210K
Preemption, IL	
Premont, TX	$86K
Prescott Valley, AZ	$490K
Prescott, AR	$100K
Prescott, AZ	$590K
Prescott, KS	
Prescott, OR	
Prescott, WA	
Prescott, WI	$410K
Presidential Lakes Estates, NJ	$305K
Presquille, LA	
Prestbury, IL	$530K
Preston Heights, IL	$233K
Preston-Potter Hollow, NY	
Preston, ID	$405K
Preston, MN	$200K
Preston, TX	$215K
Preston, WA	
Pretty Bayou, FL	$350K
Pretty Prairie, KS	
Prewitt, NM	
Price, UT	$312K
Prices Fork, VA	$392K
Priceville, AL	$256K
Prichard, AL	$125K
Prien, LA	$315K
Priest Point, WA	$500K
Priest River, ID	$339K
Primera, TX	$310K
Prince Frederick, MD	$532K
Prince George, VA	$335K
Prince's Lakes, IN	$350K
Princeton Junction, NJ	$552K
Princeton Meadows, NJ	$325K
Princeton, FL	$448K
Princeton, IA	
Princeton, ID	
Princeton, IL	$120K
Princeton, KS	
Princeton, MA	$625K
Princeton, MN	$273K
Princeton, NC	$270K
Princeton, NE	
Princeton, NJ	$915K
Princeton, SC	
Princeton, TX	$327K
Princetown, NY	
Princeville, HI	$1,475K
Princeville, IL	$175K
Princeville, NC	$154K
Prineville Lake Acres, OR	$499K
Prineville, OR	$400K
Pringle, PA	
Prinsburg, MN	$250K
Prior Lake, MN	$576K
Privateer, SC	
Proberta, CA	
Proctor, VT	$220K
Proctorsville, VT	
Proctorville, NC	$115K
Proctorville, OH	
Progreso Lakes, TX	
Progreso, TX	$100K
Progress Village, FL	$257K
Progress, PA	$225K
Promised Land, SC	
Pronghorn, OR	
Prophetstown, IL	$82K
Prospect Heights, IL	$420K
Prospect Park, NJ	$533K
Prospect Park, PA	$375K
Prospect, KY	$670K
Prospect, LA	
Prospect, NC	
Prospect, NY	$99K
Prospect, OH	$121K
Prospect, OR	$525K
Prospect, PA	
Prosper, TX	$830K
Prosperity, SC	$615K
Prosser, NE	
Prosser, WA	$440K
Providence Village, TX	$340K
Providence, NY	
Providence, RI	$380K
Providence, TX	$314K
Providence, UT	$465K
Provincetown, MA	$1,293K
Provo, UT	$504K
Prue, OK	$115K
Prunedale, CA	$830K
Pryorsburg, KY	$150K
Puako, HI	$2,500K
Puckett, MS	$313K
Pueblo Nuevo, TX	
Pueblo West, CO	$430K
Pueblo, CO	$278K
Pueblo, NM	
Pughtown, PA	$260K
Puhi, HI	$512K
Pukalani, HI	$1,000K
Pulaski, NY	$188K
Pulaski, VA	$104K
Pulaski, WI	$305K
Pulcifer, WI	
Pullman, WA	$450K
Pulpotio Bareas, NM	
Pulteney, NY	
Pultneyville, NY	$385K
Pumphrey, MD	$310K
Pumpkin Center, CA	
Pumpkin Center, NC	$216K
Pumpkin Hollow, OK	
Punaluu, HI	$153K
Punta Gorda, FL	$400K
Punta Rassa, FL	
Pupukea, HI	$3,782K
Purcell, MO	
Purcell, OK	$265K
Purcellville, VA	$780K
Purdue University, IN	
Purdy, WA	$900K
Purty Rock, NM	
Puryear, TN	$35K
Put-in-Bay, OH	
Putnam Lake, NY	$311K
Putnam Valley, NY	$395K
Putnam, CT	$249K
Putnam, NY	
Putnam, TX	
Putney, GA	$155K
Puyallup, WA	$528K
Pylesville, MD	$601K
Pymatuning Central, PA	$65K
Pymatuning North, PA	
Pymatuning South, PA	$240K
Quail Creek, TX	
Quail Ridge, FL	$363K
Quail Valley, CA	$420K
Quaker City, OH	
Quakertown, PA	$294K
Quantico Base, VA	
Quantico Station, VA	
Quantico, VA	
Quapaw, OK	$215K
Quarryville, PA	$350K
Quartz Hill, CA	$502K
Quasset Lake, CT	$430K
Quechee, VT	$240K
Queen Anne, MD	$400K
Queen City, MO	
Queen Creek, AZ	$573K
Queen Valley, AZ	$520K
Queenland, MD	
Queens Gate, PA	$225K
Queensbury, NY	$345K
Queensland, MD	
Queenstown, MD	
Quenemo, KS	
Quentin, PA	$239K
Questa, NM	
Quincy, FL	$216K
Quincy, IL	$115K
Quincy, MA	$665K
Quincy, MI	$212K
Quincy, OH	$95K
Quincy, WA	$425K
Quinebaug, CT	
Quinlan, TX	$266K
Quinn, SD	
Quinnesec, MI	
Quintana, TX	
Quinton, NJ	
Quinton, OK	
Quiogue, NY	$4,688K
Quitman, GA	
Quitman, MO	
Quitman, MS	
Qulin, MO	
Quogue, NY	$5,750K
Quonochontaug, RI	$2,250K
Rabbit Hash, KY	
Raceland, KY	$95K
Raceland, LA	$219K
Racine, MN	$300K
Racine, WI	$168K
Rackerby, CA	$375K
Radcliff, KY	$225K
Rader Creek, MT	
Radford, VA	$242K
Radisson, NY	$270K
Radium Springs, NM	
Radnor Township, PA	$805K
Radnor, OH	
Raeford, NC	$243K
Raemon, NC	
Raft Island, WA	$1,355K
Ragland, AL	
Raglesville, IN	
Ragsdale, IN	
Rahway, NJ	$413K
Railroad, PA	
Rainbow City, AL	$240K
Rainbow Lakes Estates, FL	$230K
Rainbow Lakes, NJ	$540K
Rainbow Park, FL	$234K
Rainbow Springs, FL	$330K
Rainbow, CA	$2,200K
Rainier, OR	$515K
Rainier, WA	$540K
Rainsville, AL	$220K
Rainsville, IN	
Raintree Plantation, MO	$307K
Raisin City, CA	
Raleigh Hills, OR	$355K
Raleigh, FL	
Raleigh, NC	$401K
Ralls, TX	$100K
Ralston, NE	$300K
Ralston, OK	
Ramah, CO	
Ramah, NM	
Ramapo College of New Jersey, NJ	
Ramapo, NY	$399K
Ramblewood, NJ	$400K
Ramblewood, PA	
Ramey, PA	
Ramona, CA	$737K
Ramona, OK	$175K
Ramseur, NC	$158K
Ramsey, MN	$373K
Ramsey, NJ	$657K
Ramtown, NJ	$703K
Ranchita, CA	
Ranchitos Del Norte, TX	
Rancho Alegre, TX	
Rancho Cordova, CA	$510K
Rancho Cucamonga, CA	$701K
Rancho Mesa Verde, AZ	
Rancho Mirage, CA	$955K
Rancho Mission Viejo, CA	$1,020K
Rancho Murieta, CA	$707K
Rancho Palos Verdes, CA	$1,798K
Rancho San Diego, CA	$960K
Rancho Santa Fe, CA	$3,200K
Rancho Santa Margarita, CA	$900K
Rancho Tehama Reserve, CA	$125K
Rancho Viejo, TX	$272K
Ranchos de Taos, NM	$729K
Randallstown, MD	$323K
Randleman, NC	$231K
Randlett, OK	
Randlett, UT	
Randolph AFB, TX	
Randolph Town, MA	$523K
Randolph, KS	
Randolph, MA	$523K
Randolph, ME	$248K
Randolph, MN	$430K
Randolph, MO	
Randolph, MS	
Randolph, NY	
Randolph, TN	
Randolph, VT	$150K
Randolph, WI	$290K
Random Lake, WI	$294K
Randsburg, CA	
Ranger, GA	$183K
Rangerville, TX	
Rankin, IL	
Rankin, PA	$97K
Ranlo, NC	$280K
Ranshaw, PA	
Ransom Canyon, TX	$605K
Ransom, IL	
Ransomville, NY	
Ranson, WV	$315K
Rantoul, IL	$95K
Rantoul, KS	
Raoul, GA	$93K
Rapelje, MT	
Rapid City, MI	$479K
Rapid City, SD	$350K
Rapid River, MI	
Rapid Valley, SD	$270K
Rapids City, IL	
Rapids, NY	$325K
Rarden, OH	
Raritan, IL	
Raritan, NJ	$551K
Rarity Bay, TN	$985K
Ratamosa, TX	
Rathbone, NY	
Rathdrum, ID	$432K
Ratliff City, OK	
Raub, IN	
Raubsville, PA	$375K
Rauchtown, PA	
Raven, VA	
Ravena, NY	$185K
Ravenel, SC	$613K
Ravenna, KY	$141K
Ravenna, MI	$197K
Ravenna, NE	
Ravenna, OH	$147K
Ravenna, TX	
Ravensdale, WA	
Ravensworth, VA	
Ravenwood, MO	
Ravine, PA	
Rawlings, MD	$212K
Rawson, OH	
Ray, AL	
Rayland, OH	$95K
Raymer (New Raymer), CO	
Raymond, IA	$141K
Raymond, MN	
Raymond, MS	$235K
Raymond, NE	
Raymond, NH	$440K
Raymond, OH	
Raymond, WI	$483K
Raymondville, TX	$80K
Raymore, MO	$380K
Rayne, LA	$115K
Raynham Center, MA	$471K
Raynham, MA	$497K
Raynham, NC	
Raytown, MO	$200K
Rayville, MO	
Rea, MO	
Reading, KS	
Reading, MA	$771K
Reading, MI	$325K
Reading, OH	$215K
Reading, PA	$170K
Readlyn, IA	
Readsboro, VT	
Realitos, TX	
Reamstown, PA	$285K
Reasnor, IA	$79K
Rebersburg, PA	
Rectortown, VA	
Red Bank, NJ	$600K
Red Banks, MS	
Red Bluff, CA	$265K
Red Boiling Springs, TN	$198K
Red Chute, LA	$275K
Red Cliff, CO	
Red Creek, NY	$225K
Red Cross, NC	
Red Feather Lakes, CO	
Red Hill, PA	
Red Hill, SC	$292K
Red Hook, NY	$365K
Red House, NY	
Red Lake, AZ	$510K
Red Lick, TX	
Red Lion, PA	$188K
Red Lodge, MT	
Red Oak, NC	$433K
Red Oak, TX	$350K
Red Oaks Mill, NY	$391K
Red River, NM	$479K
Red Rock, AZ	$298K
Red Rock, TX	
Red Springs, NC	$103K
Red Wing, MN	$253K
Redan, GA	$259K
Redbird Smith, OK	
Reddick, FL	$180K
Reddick, IL	$200K
Redding Center, CT	
Redding, CA	$410K
Redfield, AR	$134K
Redfield, IA	$215K
Redfield, NY	
Redfield, TX	
Redford, NY	
Redings Mill, MO	
Redington Beach, FL	$764K
Redington Shores, FL	$765K
Redland, AL	$340K
Redland, MD	$525K
Redland, TX	$175K
Redlands, CA	$578K
Redlands, CO	$513K
Redmond, OR	$481K
Redmond, WA	$1,127K
Redondo Beach, CA	$1,532K
Redrock, NM	
Redstone Arsenal, AL	
Redstone, CO	
Redvale, CO	
Redwater, TX	
Redway, CA	
Redwood City, CA	$1,810K
Redwood Valley, CA	
Redwood, NY	
Redwood, OR	$382K
Redwood, TX	$340K
Reece City, AL	
Reed Point, MT	
Reedley, CA	$340K
Reeds, MO	
Reedsburg, WI	$315K
Reedsport, OR	$346K
Reedsville, PA	$150K
Reedsville, WI	
Reedurban, OH	$156K
Reeltown, AL	
Reese, PA	
Reeseville, WI	
Reevesville, SC	
Reform, AL	$95K
Refton, PA	
Regal, MN	
Regency at Monroe, NJ	$746K
Register, GA	
Rehobeth, AL	$278K
Rehoboth, MA	$513K
Rehrersburg, PA	$310K
Reid Hope King, TX	
Reid, MD	
Reidland, KY	$236K
Reidsville, NC	$200K
Reidville, SC	$329K
Reiffton, PA	$325K
Reightown, PA	
Reinbeck, IA	$135K
Reinerton, PA	$180K
Reinholds, PA	$237K
Reisterstown, MD	$387K
Reklaw, TX	
Reliez Valley, CA	$1,850K
Rembert, SC	
Rembrandt, IA	
Remer, MN	
Remerton, GA	
Reminderville, OH	$267K
Remington, IN	$117K
Remington, OH	$951K
Remington, VA	
Remlap, AL	$197K
Remsen, NY	
Remsenburg-Speonk, NY	$1,900K
Remy, OK	$335K
Renaissance at Monroe, NJ	
Rendon, TX	$654K
Rendville, OH	
Renick, MO	
Renner Corner, SD	
Rennerdale, PA	
Rennert, NC	
Renningers, PA	
Reno Beach, OH	
Reno, NV	$500K
Reno, OH	
Reno, TX	$384K
Renova, MS	
Renovo, PA	
Rensselaer, IN	$178K
Rensselaer, MO	
Rensselaer, NY	$225K
Rensselaerville, NY	$358K
Rentchler, IL	
Renton, WA	$685K
Rentz, GA	$312K
Republic, MI	
Republic, MO	$273K
Republic, OH	
Republic, PA	$122K
Resaca, GA	
Reserve, LA	$134K
Reservoir, PA	
Rest Haven, GA	
Rest Haven, IL	
Reston, VA	$544K
Retreat, TX	
Retsof, NY	
Revere, MA	$685K
Revere, MO	
Revloc, PA	
Rew, PA	
Rewey, WI	
Rex, NC	
Rexburg, ID	$332K
Rexland Acres, CA	$265K
Reynolds Heights, PA	$127K
Reynolds, IL	
Reynoldsburg, OH	$297K
Rheems, PA	$270K
Rhinebeck, NY	$674K
Rhinecliff, NY	
Rhodes, IA	
Rhodes, MT	
Rhodhiss, NC	$153K
Rhododendron, OR	$367K
Rhome, TX	$271K
Rialto, CA	$545K
Rib Mountain, WI	$328K
Ribera, NM	
Ricardo, TX	
Rice Tracts, TX	
Rice, MN	$257K
Rice, TX	$155K
Riceboro, GA	
Riceville, MT	
Riceville, TN	$175K
Rich Creek, VA	
Rich Hill, MO	$64K
Rich Square, NC	$72K
Richardson, TX	$447K
Richboro, PA	$610K
Richburg, SC	$286K
Richfield Springs, NY	$105K
Richfield, CA	
Richfield, MN	$330K
Richfield, NC	
Richfield, NE	
Richfield, NY	$137K
Richfield, OH	$608K
Richfield, WI	$466K
Richford, NY	
Richford, VT	$200K
Richgrove, CA	
Richland Hills, TX	$280K
Richland, MI	$563K
Richland, MO	$183K
Richland, MS	$255K
Richland, NJ	$125K
Richland, NY	$188K
Richland, PA	$309K
Richland, TX	
Richland, WA	$446K
Richlands, NC	$246K
Richlands, VA	$140K
Richlandtown, PA	$338K
Richlawn, KY	$499K
Richmond Dale, OH	
Richmond Heights, FL	$453K
Richmond Heights, MO	$376K
Richmond Heights, OH	$265K
Richmond Hill, GA	$325K
Richmond West, FL	$540K
Richmond, CA	$659K
Richmond, IL	$214K
Richmond, IN	$110K
Richmond, KS	$375K
Richmond, KY	$250K
Richmond, MA	
Richmond, ME	$86K
Richmond, MI	$230K
Richmond, MN	$261K
Richmond, MO	$163K
Richmond, NY	$275K
Richmond, OH	$131K
Richmond, RI	$468K
Richmond, TX	$375K
Richmond, UT	$477K
Richmond, VA	$326K
Richmond, VT	
Richmondville, NY	$185K
Richton Park, IL	$210K
Richvale, CA	
Richville, MN	
Richville, NY	
Richville, OH	$150K
Richwood, LA	
Richwood, NJ	$510K
Richwood, OH	$232K
Richwood, TX	$188K
Rickardsville, IA	$162K
Rickreall, OR	$2,200K
Riddle, OR	
Ridge Farm, IL	$112K
Ridge Manor, FL	$250K
Ridge Wood Heights, FL	$400K
Ridge, NY	$374K
Ridgebury, CT	$13,650K
Ridgecrest Heights, CA	
Ridgecrest, CA	$271K
Ridgecrest, FL	
Ridgefield Park, NJ	$531K
Ridgefield, CT	$708K
Ridgefield, IL	$383K
Ridgefield, NJ	$1,075K
Ridgefield, WA	$565K
Ridgeland, MS	$285K
Ridgeland, SC	$413K
Ridgeland, WI	$260K
Ridgeley, WV	$218K
Ridgely, MO	
Ridgemark, CA	$708K
Ridgetop, TN	$399K
Ridgeville, SC	
Ridgeway, NY	$128K
Ridgeway, OH	
Ridgeway, VA	$122K
Ridgeway, WI	
Ridgewood, IL	$69K
Ridgewood, NJ	$943K
Ridgewood, OH	
Ridgway, CO	$903K
Ridgway, PA	
Ridley Park, PA	$315K
Ridott, IL	
Riegelsville, PA	$290K
Riesel, TX	
Rifle, CO	$416K
Rifton, NY	
Riga, NY	$205K
Rigby, ID	$328K
Riggston, IL	
Riley, IL	
Riley, IN	
Riley, KS	$155K
Rillito, AZ	
Rimini, MT	
Rincon Valley, AZ	$486K
Rincon, GA	$288K
Rincon, NM	
Riner, VA	$366K
Rineyville, KY	$288K
Ringgold, MD	
Ringoes, NJ	$320K
Ringtown, PA	$150K
Ringwood, IL	$628K
Ringwood, NJ	$480K
Rio Bravo, TX	$280K
Rio del Mar, CA	$1,613K
Rio Dell, CA	$297K
Rio en Medio, NM	
Rio Grande City, TX	$188K
Rio Grande, NJ	$244K
Rio Hondo, TX	
Rio Linda, CA	$440K
Rio Lucio, NM	
Rio Oso, CA	
Rio Pinar, FL	$552K
Rio Rico, AZ	$275K
Rio Verde, AZ	$666K
Rio Vista, CA	$459K
Rio Vista, TX	
Rio, FL	$290K
Rio, IL	
Rio, LA	
Rio, VA	
Rio, WI	$344K
Ripley, CA	
Ripley, NY	$45K
Ripley, OH	$315K
Ripley, OK	
Ripon, CA	$710K
Ripon, WI	$186K
Ripplemead, VA	
Ririe, ID	
Rising Sun-Lebanon, DE	$400K
Rising Sun, IN	$252K
Rising Sun, MD	$264K
Risingsun, OH	
Rison, AR	$170K
Ritchie, IL	
Rittman, OH	$158K
Ritzville, WA	$283K
Riva, MD	$618K
Rivanna, VA	$938K
River Bend, NC	$283K
River Bluff, KY	
River Bottom, OK	
River Edge, NJ	$530K
River Falls, WI	$363K
River Forest, IL	$578K
River Forest, IN	
River Grove, IL	$230K
River Heights, UT	
River Hills, WI	$1,575K
River Oaks, TX	$196K
River Park, FL	$282K
River Point, OR	
River Ridge, FL	$365K
River Ridge, LA	$342K
River Road, NC	$375K
River Road, OR	$434K
River Road, WA	
River Rouge, MI	$75K
River Sioux, IA	
Riverbank, CA	$486K
Riverbend, WA	$605K
Riverdale Park, CA	$430K
Riverdale Park, MD	$590K
Riverdale, CA	
Riverdale, GA	$227K
Riverdale, IA	$152K
Riverdale, IL	$108K
Riverdale, MI	
Riverdale, NE	
Riverdale, NJ	$397K
Riverdale, UT	$433K
Rivergrove, CA	
Rivergrove, OR	$785K
Riverhead, NY	$503K
Riverlea, OH	
Riverpoint, WA	$1,317K
Riverside, AL	$548K
Riverside, CA	$625K
Riverside, CT	$1,330K
Riverside, IA	$247K
Riverside, ID	
Riverside, IL	$436K
Riverside, MD	$263K
Riverside, MO	$650K
Riverside, NY	$288K
Riverside, OH	$171K
Riverside, OR	
Riverside, PA	$426K
Riverside, TX	
Riverside, UT	
Riverton, CT	
Riverton, IL	$172K
Riverton, MN	
Riverton, NJ	$417K
Riverton, UT	$533K
Riverton, WA	$655K
Riverview Estates, MO	
Riverview Park, PA	$232K
Riverview, AL	
Riverview, DE	$281K
Riverview, FL	$384K
Riverview, MI	$185K
Riverview, MO	$44K
Riverview, SC	
Riverview, VA	
Riverwood, KY	
Riverwoods, IL	$674K
Rives, TN	
Riviera Beach, FL	$420K
Riviera Beach, MD	$328K
Riviera, TX	
Roachdale, IN	$132K
Roachester, OH	$174K
Road Runner, TX	
Roadstown, NJ	
Roaming Shores, OH	$186K
Roan Mountain, TN	$243K
Roann, IN	
Roanoke Rapids, NC	$267K
Roanoke, IL	$130K
Roanoke, IN	$220K
Roanoke, LA	
Roanoke, TX	$773K
Roanoke, VA	$200K
Roaring Spring, PA	$169K
Robards, KY	
Robbins, CA	
Robbins, IL	
Robbins, NC	
Robbinsdale, MN	$323K
Robbinsville Center, NJ	$297K
Robbinsville, NJ	$297K
Roberdel, NC	$235K
Roberta, GA	
Roberts, ID	$328K
Roberts, MT	
Roberts, WI	$335K
Robertsdale, AL	$262K
Robertsville, NJ	$660K
Robertsville, OH	
Robeson Extension, PA	
Robesonia, PA	$167K
Robie Creek, ID	
Robin Glen-Indiantown, MI	
Robinhood, MS	$411K
Robins AFB, GA	
Robins, IA	$413K
Robinson Mill, CA	
Robinson, PA	
Robinson, TX	$195K
Robinwood, MD	$359K
Roca, NE	$640K
Rochelle, IL	$170K
Rocheport, MO	
Rochester Hills, MI	$399K
Rochester Institute of Technology, NY	
Rochester, IL	$195K
Rochester, KY	
Rochester, MA	$605K
Rochester, MI	$520K
Rochester, MN	$313K
Rochester, NH	$331K
Rochester, NY	$270K
Rochester, OH	
Rochester, PA	$117K
Rochester, VT	
Rochester, WA	$485K
Rochester, WI	$340K
Rock City, IL	
Rock Creek Park, CO	
Rock Creek, AL	$219K
Rock Creek, OH	
Rock Falls, IA	
Rock Falls, IL	$76K
Rock Falls, WI	
Rock Hill, LA	
Rock Hill, MO	$225K
Rock Hill, SC	$325K
Rock Island, IL	$143K
Rock Island, WA	$395K
Rock Point, MD	
Rock Ridge, CT	$4,875K
Rock Springs, WI	
Rock, KS	
Rock, MI	$48K
Rockaway Beach, MO	$114K
Rockaway, NJ	$425K
Rockbridge, OH	
Rockcreek, OR	$654K
Rockdale, IL	
Rockdale, WI	
Rockfield, IN	
Rockfish, NC	$238K
Rockford Bay, ID	
Rockford, AL	$84K
Rockford, ID	
Rockford, IL	$135K
Rockford, MI	$443K
Rockford, MN	$455K
Rockford, OH	$130K
Rockford, TN	
Rockford, WA	
Rockholds, KY	
Rockingham, NC	$184K
Rockland, ID	
Rockland, MA	$455K
Rockland, WI	$399K
Rockledge, FL	$360K
Rockledge, PA	$385K
Rockleigh, NJ	
Rocklin, CA	$665K
Rockmart, GA	$265K
Rockport, AR	
Rockport, MA	$510K
Rockport, TX	$306K
Rockport, WA	
Rockton, IL	$268K
Rockvale, CO	$366K
Rockvale, MT	
Rockvale, TN	$357K
Rockville Centre, NY	$525K
Rockville, CT	$185K
Rockville, IN	
Rockville, MD	$690K
Rockville, MN	$406K
Rockville, MO	
Rockville, SC	
Rockville, UT	
Rockwall, TX	$510K
Rockwell Place, TX	$250K
Rockwell, AR	$463K
Rockwell, IA	
Rockwell, NC	$343K
Rockwood, MI	$225K
Rockwood, PA	$260K
Rockwood, TN	$225K
Rockwood, VA	$365K
Rocky Ford, OK	
Rocky Gap, VA	
Rocky Hill, NJ	$420K
Rocky Mound, TX	
Rocky Mount, NC	$177K
Rocky Mount, VA	$191K
Rocky Point, NC	
Rocky Point, NY	$445K
Rocky Point, OK	$85K
Rocky Point, OR	
Rocky Point, WA	$570K
Rocky Ridge, OH	
Rocky Ripple, IN	$198K
Rocky River, OH	$327K
Rocky Top, TN	$247K
Rodanthe, NC	$492K
Rodeo, CA	
Rodey, NM	
Rodman, NY	
Rodney Village, DE	
Roebling, NJ	$210K
Roebuck, SC	$375K
Roeland Park, KS	$313K
Roessleville, NY	$244K
Roeville, FL	
Roff, OK	$115K
Rogers, AR	$357K
Rogers, MN	$419K
Rogers, OH	
Rogers, TX	$138K
Rogersville, AL	$280K
Rogersville, MO	$280K
Rogersville, TN	$193K
Rogue River, OR	$315K
Rohnert Park, CA	$725K
Rohrersville, MD	
Rohrsburg, PA	
Roland, AR	
Roland, IA	$350K
Roland, OK	$199K
Rolesville, NC	$545K
Rolla, MO	$188K
Rolling Fields, KY	$728K
Rolling Hills Estates, CA	$1,760K
Rolling Hills, CA	$3,700K
Rolling Hills, KY	
Rolling Meadows, IL	$285K
Rolling Prairie, IN	
Rollingstone, MN	
Rollingwood, CA	
Rollingwood, TX	$2,200K
Rollinsville, CO	
