County,County Population,Predominant City,State,People per sq mi,Median household income,% with at least Bachelor's degree,Median age,Median home price,Median home sqft,Median home cost per sqft,Median home age,Homeownership Rate,Avg Apartment Monthly Rent,Single Population,Num Violent Crimes Per 100k residents,Num Property Crimes Per 100k residents,Poverty Rate,Unemployment rate,Labor Force Participation rate,% Democrat,% Republican,% Asian,% Black,% Non-Hispanic White,% Hispanic,Foreign Born %,Timezone,Hottest month's avg high (F),Coldest month's avg high (F),Hottest high minus coldest high,Annual rainfall (in),Annual snowfall (in),Average yearly windspeed (mph),Air quality Index,UV Index,Latitude,Longitude,Annual Sunshine - Percentage of Possible,Summer Sunshine - Percentage of Possible,Winter Sunshine - Percentage of Possible,Annual Relative Humidity (afternoon),Summer Relative Humidity (afternoon),Number of days with thunder per year,Annual dew point (F),Average summer dew point (F),Hottest month's avg low (F),Coldest month's avg low (F),Summer rainfall (in),Winter rainfall (in),Percent of days that include precipitation,Percent of Summer days that include precipitation,Percent of Winter days that include precipitation,Days of snow per year
Taylor County,4283,Bedford,Iowa,773,$50994,12%,41,N/A,N/A,N/A,64,78%,$571,45%,N/A,N/A,9%,3%,63%,25%,69%,0%,0%,87%,10%,6%,N/A,85,32,53,38,22,8,85,3,40.76867565678263,-94.65273367982722,59%,71%,50%,59%,57%,48,39,61,64,12,14.44,3.57,28%,32%,20%,10
Grant County,4283,Milbank,South Dakota,970,$56103,24%,41,N/A,N/A,N/A,51,81%,$557,35%,N/A,N/A,9%,2%,65%,27%,66%,0%,0%,90%,6%,5%,N/A,82,21,60,25,38,N/A,92,3,45.21566612745739,-96.61776606430072,63%,73%,58%,60%,55%,38,33,56,60,4,11.19,2.19,20%,26%,13%,12
Thurston County,4276,Pender,Nebraska,1719,$48908,15%,28,N/A,N/A,N/A,51,53%,$657,63%,N/A,N/A,24%,15%,64%,44%,50%,0%,0%,33%,8%,1%,N/A,88,30,57,32,36,N/A,88,3,42.146816582530406,-96.53061849892423,60%,71%,54%,60%,59%,42,37,61,63,10,12.41,3.05,22%,27%,16%,20
Atoka County,4270,Atoka,Oklahoma,343,$33288,14%,37,N/A,N/A,N/A,43,58%,$564,52%,185,3353,27%,7%,47%,15%,81%,1%,4%,61%,5%,1%,N/A,94,52,42,44,1,7,57,5,34.37502765189696,-96.12515675187353,64%,74%,59%,54%,52%,50,46,64,70,27,10.37,7.61,22%,21%,20%,0
Ritchie County,4269,Harrisville,West Virginia,892,$38199,12%,43,N/A,N/A,N/A,57,72%,$632,45%,N/A,N/A,21%,6%,52%,12%,82%,0%,1%,96%,0%,1%,N/A,85,40,44,47,22,4,71,4,39.23355613452799,-81.01737541143125,42%,52%,29%,57%,58%,43,40,59,63,21,14.17,11.36,44%,42%,51%,16
Smith County,4260,Taylorsville,Mississippi,389,$34224,12%,39,N/A,N/A,N/A,42,73%,$584,57%,N/A,N/A,20%,5%,45%,21%,77%,0%,33%,64%,0%,0%,N/A,91,57,33,59,1,6,57,5,31.932862910469485,-89.49428123267604,59%,66%,50%,56%,56%,66,53,69,70,34,14.58,17.63,28%,34%,32%,0
Harper County,4244,Anthony,Kansas,758,$48286,14%,37,N/A,N/A,N/A,61,70%,$715,49%,464,1308,15%,5%,58%,15%,77%,0%,0%,87%,7%,2%,N/A,93,46,47,33,8,N/A,74,4,37.20933202134779,-98.06434035688032,64%,73%,59%,55%,51%,53,43,62,70,22,12.3,3.2,20%,26%,14%,3
Conejos County,4233,Sanford,Colorado,1366,$38974,20%,37,N/A,N/A,N/A,47,81%,$583,52%,N/A,N/A,19%,10%,61%,44%,47%,0%,0%,35%,61%,3%,N/A,81,33,48,9,32,N/A,95,5,37.20209382893929,-105.94748772376565,78%,82%,74%,40%,34%,35,27,43,50,4,3.7,1.16,18%,27%,13%,19
Bear Lake County,4224,Montpelier,Idaho,813,$54062,17%,35,N/A,N/A,N/A,62,79%,$637,38%,198,1392,15%,5%,61%,8%,75%,0%,0%,92%,5%,3%,N/A,86,28,57,20,82,8,93,4,42.31830548276515,-111.33338158394886,62%,79%,43%,45%,25%,23,29,41,48,7,2.91,5.89,32%,20%,40%,42
Pocahontas County,4224,Pocahontas,Iowa,876,$49891,13%,47,N/A,N/A,N/A,67,81%,$611,50%,N/A,N/A,13%,5%,62%,24%,69%,1%,0%,93%,3%,4%,N/A,84,26,58,33,41,N/A,90,3,42.76169913813921,-94.7197388900805,59%,71%,53%,60%,58%,42,37,61,62,8,13.06,3.21,27%,29%,22%,24
Kanabec County,4223,Mora,Minnesota,633,$41881,13%,38,N/A,N/A,N/A,40,64%,$616,58%,N/A,N/A,15%,1%,57%,28%,64%,0%,0%,93%,1%,0%,N/A,82,21,61,33,49,N/A,69,3,45.869459326758225,-93.29841016315414,50%,60%,45%,63%,61%,39,34,58,59,2,14.45,2.86,30%,37%,24%,23
Madison County,4223,Mars Hill,North Carolina,1144,$49935,40%,30,$448615,1521,$294,45,59%,$801,64%,N/A,N/A,19%,4%,51%,34%,60%,0%,4%,88%,4%,4%,Eastern Standard Time,85,46,39,46,10,6,79,4,35.831559524887524,-82.60486589604547,59%,59%,57%,55%,59%,44,46,64,61,24,12.82,11.16,39%,41%,43%,6
Candler County,4218,Metter,Georgia,515,$28592,10%,45,N/A,N/A,N/A,43,47%,$599,64%,N/A,N/A,30%,7%,51%,27%,70%,0%,31%,53%,11%,6%,N/A,92,60,32,49,0,6,58,5,32.39546150682788,-82.05565822176388,59%,59%,55%,54%,57%,60,55,70,73,39,16.37,12.46,24%,29%,26%,0
Furnas County,4212,Cambridge,Nebraska,962,$53960,17%,43,N/A,N/A,N/A,72,81%,$713,35%,N/A,N/A,9%,1%,62%,13%,82%,0%,0%,90%,6%,3%,N/A,89,40,49,24,23,N/A,87,4,40.26635113577872,-99.92567024183286,68%,79%,61%,55%,53%,46,36,58,63,13,10.96,1.72,22%,31%,14%,12
Sabine County,4203,Milam,Texas,328,$32021,14%,38,N/A,N/A,N/A,41,74%,$530,48%,N/A,N/A,32%,12%,50%,13%,86%,0%,6%,84%,4%,0%,N/A,94,59,34,55,0,7,57,5,31.364953570663808,-93.86059456638117,58%,69%,50%,58%,56%,55,54,70,72,37,12.25,15.32,23%,23%,27%,0
Wheeler County,4192,Alamo,Georgia,1454,$40806,23%,26,N/A,N/A,N/A,45,54%,$386,79%,N/A,N/A,29%,12%,43%,30%,67%,0%,62%,37%,0%,0%,N/A,91,59,32,47,0,5,55,5,32.15372159990458,-82.75774914453721,63%,67%,56%,52%,54%,53,53,69,71,38,14.89,13.38,18%,22%,19%,0
Major County,4182,Fairview,Oklahoma,480,$49616,17%,37,N/A,N/A,N/A,52,78%,$613,40%,307,961,17%,1%,56%,9%,86%,0%,0%,76%,17%,8%,N/A,95,48,46,31,8,N/A,69,5,36.299888334791966,-98.41969395088475,66%,76%,60%,55%,53%,49,46,64,70,27,11.15,3.35,17%,21%,12%,3
Lee County,4182,Marianna,Arkansas,850,$18741,6%,43,N/A,N/A,N/A,49,45%,$521,65%,824,4532,36%,19%,49%,57%,40%,0%,73%,24%,0%,0%,N/A,91,50,41,56,0,8,64,4,34.77129178928742,-90.78794837525108,63%,74%,52%,56%,56%,53,50,68,72,32,11.2,14.92,29%,24%,34%,0
Mineral County,4181,Hawthorne,Nevada,1056,$29692,14%,51,N/A,N/A,N/A,45,68%,$580,55%,N/A,N/A,21%,12%,44%,31%,59%,1%,2%,63%,13%,2%,N/A,96,46,50,6,22,6,95,5,38.63011379681895,-118.65939453932073,81%,92%,65%,24%,15%,15,29,37,61,22,1.35,1.77,14%,6%,22%,6
McCormick County,4178,McCormick,South Carolina,571,$46901,12%,46,N/A,N/A,N/A,50,61%,$747,60%,435,2262,20%,4%,35%,47%,50%,0%,62%,29%,1%,1%,N/A,92,55,37,46,1,6,57,5,33.88635783078027,-82.29001668812829,64%,67%,57%,50%,52%,42,48,66,70,33,13.44,12.92,28%,30%,31%,0
Montgomery County,4171,Mount Vernon,Georgia,442,$35607,16%,40,$196040,2042,$96,46,62%,$582,55%,N/A,N/A,23%,11%,45%,23%,74%,0%,45%,47%,3%,4%,N/A,93,60,32,47,0,6,57,5,32.1708898811556,-82.56663286621914,62%,65%,55%,52%,54%,54,53,69,71,37,14.87,13.37,19%,24%,20%,0
Sublette County,4152,Pinedale,Wyoming,1080,$73038,28%,36,N/A,N/A,N/A,38,67%,$937,54%,N/A,N/A,10%,11%,67%,14%,77%,0%,0%,76%,16%,12%,N/A,81,26,54,10,68,6,97,4,42.73507463159923,-109.97911831052504,67%,74%,63%,43%,28%,33,25,40,42,-1,2.84,1.82,25%,18%,31%,29
Westmoreland County,4144,Colonial Beach,Virginia,1342,$52746,23%,44,N/A,N/A,N/A,43,61%,$1028,56%,306,1335,17%,6%,44%,44%,51%,2%,10%,75%,4%,3%,N/A,86,44,42,48,12,7,72,4,38.234040739695956,-76.94921261908785,62%,67%,56%,53%,55%,34,46,66,67,25,14.66,9.5,35%,36%,37%,4
Sherman County,4143,Goodland,Kansas,875,$56458,19%,37,N/A,N/A,N/A,50,63%,$821,44%,342,1828,6%,6%,71%,13%,80%,1%,1%,77%,16%,4%,N/A,90,43,47,19,30,N/A,86,5,39.34851124146754,-101.72639345071205,69%,78%,65%,49%,41%,45,35,55,61,17,8.88,1.53,22%,30%,15%,17
Otsego County,4137,Gaylord,Michigan,717,$33996,18%,40,N/A,N/A,N/A,43,52%,$733,65%,377,5014,17%,1%,54%,28%,65%,0%,1%,93%,2%,0%,N/A,78,24,54,31,142,8,74,3,45.03538462291516,-84.67888010014502,48%,63%,35%,62%,55%,31,35,55,55,11,8.93,4.31,42%,37%,44%,74
Prairie County,4136,Hazen,Arkansas,556,$36565,13%,42,N/A,N/A,N/A,44,66%,$628,50%,431,1648,15%,5%,54%,23%,72%,0%,18%,75%,2%,0%,N/A,91,49,42,54,2,7,59,5,34.83683271080755,-91.52490287383945,68%,81%,56%,57%,56%,55,50,68,72,31,9.39,14.0,28%,24%,31%,0
Fillmore County,4134,Geneva,Nebraska,826,$61330,22%,47,N/A,N/A,N/A,66,81%,$610,42%,N/A,N/A,7%,0%,63%,20%,72%,1%,0%,91%,4%,1%,N/A,87,37,50,29,22,8,85,4,40.5548880149492,-97.56823884286403,60%,72%,53%,56%,54%,46,37,59,66,17,11.68,2.41,20%,26%,13%,8
McCreary County,4129,Whitley City,Kentucky,425,$18165,14%,40,N/A,N/A,N/A,36,52%,$457,43%,N/A,N/A,48%,3%,32%,11%,86%,3%,4%,87%,0%,2%,N/A,85,45,40,59,3,6,73,4,36.69611600930007,-84.46241523717607,57%,66%,44%,57%,58%,46,48,66,63,24,16.34,15.82,34%,36%,37%,1
Osceola County,4124,Sibley,Iowa,1145,$56114,12%,41,N/A,N/A,N/A,62,76%,$636,43%,N/A,N/A,14%,3%,63%,17%,78%,0%,0%,85%,11%,6%,N/A,84,23,61,32,45,N/A,90,3,43.38712925899612,-95.69944805434045,56%,63%,56%,60%,56%,44,35,58,61,6,12.07,3.16,27%,31%,21%,19
Walworth County,4104,Mobridge,South Dakota,1464,$47846,17%,45,N/A,N/A,N/A,56,66%,$704,50%,366,732,13%,5%,63%,18%,76%,0%,5%,72%,2%,1%,N/A,88,27,61,19,39,N/A,92,3,45.532624067543864,-100.35987001586257,59%,71%,50%,58%,50%,33,30,53,61,7,7.87,1.78,25%,31%,22%,20
Gladwin County,4096,Gladwin,Michigan,1045,$26106,13%,N/A,N/A,N/A,N/A,41,49%,N/A,59%,466,1352,24%,6%,N/A%,30%,64%,1%,1%,N/A%,4%,1%,N/A,83,30,53,35,51,8,86,3,43.98013704755859,-84.46148807668457,48%,63%,36%,62%,55%,31,35,55,58,14,10.0,6.66,35%,32%,37%,28
Lander County,4070,Battle Mountain,Nevada,616,$85688,13%,37,N/A,N/A,N/A,28,78%,$850,49%,N/A,N/A,10%,9%,66%,16%,75%,0%,2%,66%,29%,9%,N/A,99,45,53,8,17,7,90,5,40.58053561717445,-116.95648117452089,65%,80%,50%,34%,17%,16,26,34,57,23,0.88,2.46,16%,7%,21%,7
Cotton County,4061,Walters,Oklahoma,433,$41684,12%,41,$18000,2250,$8,58,70%,$598,44%,42,1597,21%,5%,56%,16%,78%,0%,3%,73%,9%,0%,Central Standard Time,96,54,42,28,3,N/A,69,5,34.321638978798326,-98.34428369815316,66%,76%,60%,50%,46%,48,48,65,72,29,8.35,3.45,17%,18%,12%,0
Overton County,4058,Livingston,Tennessee,623,$30198,14%,47,$165000,1602,$103,47,61%,$582,56%,298,1619,25%,4%,47%,23%,73%,1%,1%,93%,4%,0%,N/A,87,46,41,56,3,6,74,4,36.3875115,-85.3265374,57%,66%,44%,57%,58%,46,48,66,66,27,14.9,15.86,26%,26%,28%,1
Lawrence County,4049,Loretto,Tennessee,415,$41821,11%,37,$193223,1814,$130,46,81%,$651,48%,323,887,15%,7%,55%,18%,79%,0%,0%,95%,2%,0%,N/A,89,50,39,57,2,7,68,4,35.156437327142505,-87.41537594314647,57%,62%,48%,57%,57%,56,49,67,68,30,13.27,16.58,35%,34%,40%,0
Wahkiakum County,4039,Puget Island,Washington,307,$62684,20%,55,N/A,N/A,N/A,41,90%,$844,30%,N/A,N/A,9%,5%,39%,34%,55%,1%,1%,84%,8%,4%,N/A,75,45,29,81,3,7,90,2,46.23025460435752,-123.43042273518199,50%,67%,30%,73%,71%,6,45,52,52,32,4.77,32.05,53%,24%,70%,0
Roseau County,4038,Roseau,Minnesota,809,$53001,20%,41,N/A,N/A,N/A,44,74%,$641,53%,N/A,N/A,6%,3%,67%,23%,69%,1%,1%,93%,1%,4%,N/A,78,16,62,25,46,7,89,3,48.80893317399703,-95.85015569497277,56%,70%,48%,62%,56%,32,28,53,54,-4,10.6,2.57,27%,32%,24%,23
Johnson County,4032,Paintsville,Kentucky,609,$22047,14%,45,N/A,N/A,N/A,42,47%,$490,54%,99,772,24%,17%,32%,13%,84%,0%,1%,93%,2%,0%,N/A,85,45,40,47,22,4,64,4,37.8164115,-82.8088708,57%,66%,44%,58%,62%,42,44,64,65,23,14.02,11.16,37%,37%,42%,19
Lincoln County,4025,Alum Creek,West Virginia,1087,$43860,13%,41,N/A,N/A,N/A,44,64%,$722,43%,N/A,N/A,20%,5%,50%,20%,74%,0%,0%,97%,1%,0%,Eastern Standard Time,87,43,43,49,15,5,66,4,38.25503351595031,-82.01278043719256,45%,54%,35%,56%,57%,42,44,63,65,25,14.47,11.42,41%,40%,47%,12
Gray County,4015,Cimarron,Kansas,1623,$77536,24%,38,N/A,N/A,N/A,50,80%,$675,31%,0,0,4%,2%,76%,12%,82%,0%,1%,74%,23%,11%,N/A,93,45,47,21,14,N/A,84,5,37.733107771108344,-100.3948218338979,69%,78%,65%,50%,46%,48,39,59,66,19,9.51,2.3,17%,24%,10%,6
Washburn County,3998,Spooner,Wisconsin,501,$35456,19%,39,N/A,N/A,N/A,50,58%,$730,50%,500,1616,13%,4%,51%,35%,59%,1%,1%,95%,2%,1%,N/A,81,21,60,30,56,8,86,3,45.805964622586295,-91.86205556263133,50%,60%,45%,63%,61%,33,29,52,59,2,11.43,2.98,29%,34%,26%,31
Broadwater County,3997,Townsend,Montana,733,$65970,29%,50,N/A,N/A,N/A,35,84%,$675,48%,N/A,N/A,7%,10%,56%,18%,74%,0%,0%,93%,4%,1%,N/A,85,32,52,14,39,6,91,3,46.302677400825615,-111.5727740109332,57%,71%,42%,46%,32%,28,27,42,52,14,5.13,1.6,32%,29%,28%,23
Oconee County,3996,Watkinsville,Georgia,754,$77280,44%,36,$487016,2670,$187,32,80%,$1110,48%,N/A,N/A,6%,2%,67%,27%,66%,2%,6%,82%,5%,9%,Eastern Standard Time,90,54,36,49,3,8,58,5,33.850975010860864,-83.42594344404405,60%,63%,53%,55%,57%,49,49,66,69,34,13.42,14.72,33%,36%,38%,0
Spink County,3986,Redfield,South Dakota,1055,$43547,17%,37,N/A,N/A,N/A,61,61%,$605,47%,N/A,N/A,6%,2%,78%,31%,62%,0%,0%,89%,3%,1%,N/A,84,23,61,22,44,N/A,87,3,44.90215043346714,-98.46675539159556,63%,73%,58%,60%,55%,38,33,57,60,3,9.8,1.76,17%,21%,13%,21
Southampton County,3983,Courtland,Virginia,1098,$60685,17%,38,$217444,2328,$100,55,73%,$602,48%,N/A,N/A,10%,5%,63%,40%,56%,0%,29%,61%,1%,1%,N/A,88,50,38,53,7,7,71,4,36.70626816693447,-77.07270051210143,61%,65%,57%,57%,59%,34,48,66,68,28,16.6,10.1,32%,33%,33%,1
Calhoun County,3976,Morgan,Georgia,1036,$23122,7%,41,N/A,N/A,N/A,46,48%,$469,74%,209,559,34%,15%,26%,58%,41%,0%,68%,25%,4%,3%,N/A,91,61,30,53,0,5,52,3,31.53790428835513,-84.63496348244466,61%,65%,53%,53%,54%,57,53,69,69,36,15.84,16.33,30%,39%,33%,0
Norton County,3969,Norton,Virginia,531,$30518,20%,44,N/A,N/A,N/A,46,52%,$451,54%,152,3401,31%,8%,52%,26%,69%,0%,5%,93%,0%,0%,N/A,81,42,39,54,39,4,68,4,36.9314574,-82.6262027,59%,59%,57%,58%,62%,40,45,63,61,25,15.63,13.86,45%,49%,50%,24
Edmunds County,3961,Ipswich,South Dakota,377,$49400,21%,39,N/A,N/A,N/A,52,64%,$543,38%,224,1032,5%,2%,72%,19%,74%,0%,0%,97%,3%,1%,N/A,84,23,61,19,41,N/A,94,2,45.45169148104016,-99.16790116950266,62%,72%,56%,61%,55%,37,33,56,60,4,8.42,1.68,21%,26%,16%,19
Johnson County,3957,Lamar,Arkansas,334,$36594,12%,38,N/A,N/A,N/A,38,84%,$501,40%,0,1436,23%,5%,46%,26%,66%,0%,0%,85%,6%,2%,N/A,91,47,43,52,3,7,54,4,35.43087658989133,-93.49385693287844,61%,72%,53%,56%,55%,54,48,67,71,28,12.33,10.64,26%,24%,25%,0
Monroe County,3954,Woodsfield,Ohio,951,$38210,10%,42,N/A,N/A,N/A,64,70%,$669,50%,N/A,N/A,23%,8%,48%,24%,71%,0%,1%,93%,0%,0%,N/A,84,38,46,47,21,7,75,3,39.76748554395549,-81.07512742860395,42%,52%,29%,57%,54%,34,39,58,62,20,13.6,11.14,40%,37%,49%,15
Pondera County,3953,Conrad,Montana,1479,$44909,19%,40,N/A,N/A,N/A,58,76%,$690,50%,N/A,N/A,20%,9%,58%,27%,66%,0%,0%,79%,0%,1%,N/A,82,32,50,19,55,6,95,3,48.20776183837592,-112.13737891619023,58%,73%,43%,47%,33%,24,28,43,51,11,4.58,4.34,24%,22%,25%,23
Thayer County,3935,Hebron,Nebraska,986,$51149,19%,45,N/A,N/A,N/A,67,77%,$583,41%,N/A,N/A,11%,1%,61%,18%,76%,0%,0%,93%,3%,0%,N/A,89,37,52,30,23,8,85,4,40.18198423331639,-97.63611951362134,68%,79%,61%,56%,54%,55,40,61,65,15,12.44,2.8,19%,26%,11%,8
Red River County,3935,Coushatta,Louisiana,624,$36098,9%,42,N/A,N/A,N/A,42,58%,$418,59%,N/A,N/A,30%,4%,43%,43%,54%,0%,44%,51%,0%,0%,N/A,93,58,34,57,0,7,57,5,32.058934050266835,-93.31004636094029,58%,69%,50%,58%,56%,55,54,70,73,37,13.31,15.69,26%,25%,30%,0
Clearwater County,3915,Orofino,Idaho,1129,$38392,14%,50,N/A,N/A,N/A,54,69%,$767,51%,N/A,N/A,11%,4%,53%,18%,75%,0%,0%,92%,4%,7%,N/A,88,37,50,30,34,5,82,3,46.48843473200511,-116.1855888638314,52%,73%,29%,48%,28%,12,37,46,53,25,3.57,10.89,39%,19%,52%,25
Price County,3915,Park Falls,Wisconsin,624,$39638,13%,44,N/A,N/A,N/A,60,60%,$635,56%,185,572,24%,2%,51%,35%,60%,1%,0%,87%,4%,4%,N/A,78,21,57,34,76,8,86,3,45.83164583550447,-90.42709413959132,50%,60%,45%,63%,61%,33,29,52,57,3,12.86,3.92,36%,37%,34%,40
Carroll County,3909,North Conway,New Hampshire,396,$68086,43%,57,N/A,N/A,N/A,49,59%,$918,52%,N/A,N/A,15%,3%,74%,43%,49%,1%,0%,94%,1%,3%,N/A,81,31,50,53,85,7,89,2,43.87035916362241,-71.12588817961115,55%,60%,54%,56%,56%,17,35,57,58,11,14.58,12.85,37%,41%,36%,33
Scott County,3904,Scott City,Kansas,1441,$49453,22%,37,N/A,N/A,N/A,57,61%,$650,38%,210,368,8%,1%,64%,10%,84%,1%,0%,75%,21%,10%,N/A,93,44,49,20,21,N/A,88,4,38.478872,-100.9030535,69%,78%,65%,50%,46%,48,39,59,64,17,8.9,1.83,16%,23%,9%,6
Huerfano County,3898,Walsenburg,Colorado,919,$34177,20%,47,N/A,N/A,N/A,68,64%,$684,52%,N/A,N/A,18%,2%,46%,43%,49%,0%,0%,54%,40%,1%,N/A,88,46,42,16,72,8,91,5,37.601921043714725,-104.835009047255,78%,82%,74%,36%,32%,35,30,47,58,20,5.91,2.54,22%,28%,20%,25
Phillips County,3891,Phillipsburg,Kansas,1039,$48666,21%,43,N/A,N/A,N/A,60,72%,$577,49%,N/A,N/A,15%,2%,63%,11%,83%,0%,1%,93%,3%,0%,N/A,91,39,51,25,16,N/A,82,4,39.73465799575945,-99.37327389881779,68%,79%,61%,56%,54%,56,40,61,65,15,10.08,2.19,19%,26%,10%,6
Rockcastle County,3891,Mount Vernon,Kentucky,810,$22817,17%,42,N/A,N/A,N/A,39,46%,$557,52%,33,437,41%,11%,50%,13%,83%,0%,0%,97%,0%,0%,N/A,84,42,42,54,16,4,72,4,37.37022981583141,-84.36200376710357,55%,65%,45%,58%,62%,45,44,64,66,24,14.82,12.87,31%,32%,33%,11
Antelope County,3874,Neligh,Nebraska,997,$48247,17%,47,N/A,N/A,N/A,62,69%,$615,43%,N/A,N/A,12%,2%,66%,11%,83%,0%,0%,94%,2%,0%,N/A,85,33,52,29,38,N/A,90,3,42.143367602348995,-98.07096699204956,60%,71%,54%,56%,54%,47,37,60,63,11,11.12,2.77,23%,28%,18%,17
Forest County,3868,Marienville,Pennsylvania,554,$34599,5%,36,N/A,N/A,N/A,45,63%,$707,77%,N/A,N/A,18%,7%,6%,25%,69%,0%,41%,47%,10%,1%,N/A,81,32,48,48,57,8,85,3,41.467921715201655,-79.14667623381592,42%,52%,29%,65%,63%,37,39,58,56,13,14.76,10.47,49%,44%,59%,34
Rooks County,3850,Plainville,Kansas,1123,$48760,24%,39,N/A,N/A,N/A,64,74%,$580,43%,N/A,N/A,5%,2%,60%,11%,84%,0%,1%,93%,2%,0%,N/A,93,42,51,25,20,N/A,86,4,39.328285971376616,-99.30727478085714,68%,79%,61%,57%,54%,56,41,62,65,17,10.37,2.48,18%,24%,11%,7
Garrard County,3837,Lancaster,Kentucky,1690,$40151,10%,37,N/A,N/A,N/A,48,52%,$725,51%,207,2123,25%,8%,51%,19%,77%,0%,8%,88%,1%,1%,N/A,87,43,44,51,16,4,75,4,37.6148232,-84.5815116,55%,65%,46%,58%,62%,45,44,64,66,23,12.99,12.47,31%,31%,33%,11
Moody County,3836,Flandreau,South Dakota,956,$42090,18%,60,N/A,N/A,N/A,54,56%,$673,48%,774,3357,11%,4%,52%,35%,59%,4%,1%,77%,7%,4%,N/A,82,23,59,29,46,N/A,90,3,44.031567971871745,-96.64657833125652,56%,63%,56%,60%,56%,44,35,58,60,4,12.2,2.67,23%,28%,20%,23
Nelson County,3831,Nellysford,Virginia,122,$70287,38%,56,$348848,1988,$205,34,76%,$385,36%,N/A,N/A,21%,1%,42%,44%,50%,0%,23%,74%,1%,3%,Eastern Standard Time,84,42,42,46,16,5,79,4,37.81853023797964,-78.87060207384495,59%,64%,54%,52%,56%,33,43,62,61,21,12.6,9.53,32%,38%,29%,4
Lac qui Parle County,3830,Madison,Minnesota,1173,$48284,14%,48,N/A,N/A,N/A,67,80%,$535,46%,N/A,N/A,12%,2%,58%,33%,59%,1%,0%,93%,2%,3%,N/A,83,22,60,25,52,N/A,92,3,44.98403382151436,-96.14419957117494,56%,64%,56%,60%,55%,43,34,58,61,4,10.87,1.96,23%,28%,17%,18
Howard County,3829,St. Paul,Nebraska,1654,$51416,21%,39,N/A,N/A,N/A,54,75%,$711,41%,N/A,N/A,6%,4%,69%,18%,76%,0%,0%,88%,3%,1%,Central Standard Time,88,36,51,29,25,N/A,87,4,41.19881236991382,-98.48255152653435,60%,72%,53%,56%,54%,47,37,59,65,15,11.71,2.65,24%,30%,17%,11
Crawford County,3825,Oblong,Illinois,1236,$44388,11%,40,N/A,N/A,N/A,64,69%,$569,46%,N/A,N/A,18%,8%,56%,22%,71%,0%,0%,97%,0%,0%,N/A,87,38,48,49,12,6,76,4,39.0088495703268,-87.747773976366,58%,72%,46%,58%,56%,42,45,65,66,21,13.46,9.54,31%,30%,32%,8
Watonwan County,3814,Madelia,Minnesota,1477,$49655,16%,41,N/A,N/A,N/A,64,78%,$687,46%,N/A,N/A,12%,3%,69%,36%,55%,4%,1%,68%,24%,14%,N/A,84,24,60,34,54,N/A,89,3,44.01304013138437,-94.5055159277399,56%,63%,56%,63%,59%,40,34,58,63,6,12.68,3.58,29%,32%,25%,23
Guadalupe County,3800,Santa Rosa,New Mexico,485,$42085,7%,40,N/A,N/A,N/A,46,79%,$394,68%,N/A,N/A,12%,7%,45%,53%,32%,0%,1%,17%,71%,4%,N/A,93,54,39,14,23,N/A,87,6,34.92410273907895,-104.7471395719737,73%,78%,67%,31%,29%,37,35,53,58,22,6.44,1.32,16%,29%,10%,4
Chouteau County,3796,Fort Benton,Montana,513,$43828,22%,36,N/A,N/A,N/A,51,58%,$540,49%,N/A,N/A,19%,5%,55%,28%,64%,0%,0%,63%,0%,1%,N/A,87,33,53,15,45,6,94,3,48.00456693906743,-110.34906943582719,62%,77%,46%,47%,33%,24,28,43,54,12,4.94,2.03,25%,23%,25%,28
Adair County,3794,Greenfield,Iowa,791,$45293,14%,44,N/A,N/A,N/A,64,71%,$587,49%,N/A,N/A,12%,5%,61%,29%,64%,0%,0%,95%,0%,1%,N/A,85,30,55,40,32,N/A,85,3,41.33085071027939,-94.51948818046918,58%,71%,49%,60%,58%,48,39,61,63,11,14.92,3.98,27%,31%,20%,20
Greene County,3792,Palenville,New York,432,$52444,29%,48,$345000,1414,$244,65,78%,$935,55%,N/A,N/A,13%,1%,54%,33%,59%,0%,1%,95%,0%,2%,N/A,78,31,47,54,52,7,84,3,42.24655066484705,-73.98766070414028,50%,58%,45%,57%,55%,22,37,58,55,12,17.25,12.4,37%,42%,35%,24
Hardy County,3790,Moorefield,West Virginia,1268,$44092,8%,40,N/A,N/A,N/A,54,50%,$821,50%,992,6327,18%,2%,65%,20%,75%,10%,12%,74%,2%,12%,N/A,87,43,44,40,28,4,86,4,39.06854354395779,-78.92002132364117,43%,53%,31%,58%,59%,33,40,59,63,22,12.53,8.11,41%,41%,42%,18
Clarke County,3782,Quitman,Mississippi,295,$34543,20%,49,$287000,2296,$125,48,70%,$674,59%,N/A,N/A,20%,8%,51%,33%,65%,0%,39%,56%,3%,0%,N/A,92,58,34,61,1,5,50,5,32.06195141052353,-88.75597686536224,59%,66%,50%,55%,56%,58,53,69,73,36,15.8,18.11,30%,34%,35%,0
Petersburg County,3773,Petersburg,Alaska,70,$57084,25%,N/A,N/A,N/A,N/A,43,53%,N/A,48%,N/A,N/A,7%,6%,N/A%,37%,49%,4%,1%,N/A%,11%,9%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,85,1,N/A,N/A,N/A%,N/A%,N/A%,N/A%,N/A%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A%,N/A%,N/A%,N/A
